Date of Shipment,Suppliers                                  Region,Grade,Moisture Content,Turnaround Days,Value
1/5/2025,Yobe,Grade 1,11.2,14,"  105,600.00 "
1/12/2025,Bauchi,Grade 2,14.5,22,"  35,300.00 "
1/19/2025,Yobe,Grade 1,10.8,18,"  102,000.00 "
1/26/2025,Jigawa,Grade 2,13.1,12,"  35,300.00 "
2/2/2025,Maidugri,Grade 1,11.5,15,"  105,600.00 "
2/9/2025,Buni Yadi,Grade 1,15.2,25,"  211,200.00 "
2/16/2025,Gombe,Grade 2,12.8,19,"  35,300.00 "
2/23/2025,Buni Yadi,Grade 1,10.9,11,"  211,200.00 "
3/2/2025,Jigawa,Grade 2,13.5,16,"  35,300.00 "
3/9/2025,Buni Yadi,Grade 2,14.1,24,"  35,300.00 "
3/16/2025,Yobe,Grade 1,11.1,17,"  105,600.00 "
3/23/2025,Kano,Grade 1,11.4,13,"  107,800.00 "
3/30/2025,Jigawa,Grade 1,10.5,14,"  107,800.00 "
4/6/2025,Gombe,Grade 2,16,28,"  39,000.00 "
4/13/2025,Yobe,Grade 2,13.9,21,"  39,000.00 "
4/20/2025,Damaturu,Grade 1,11,10,"  104,000.00 "
4/27/2025,Bauchi,Grade 2,12.5,15,"  39,000.00 "
5/4/2025,Damaturu,Grade 1,12.1,23,"  107,800.00 "
5/11/2025,Damaturu,Grade 1,11.3,16,"  107,800.00 "
5/18/2025,Kano,Grade 2,14.2,14,"  39,900.00 "
5/25/2025,Jigawa,Grade 1,11,13,"  107,800.00 "
6/1/2025,Bornu,Grade 2,15.5,26,"  41,300.00 "
6/8/2025,Yobe,Grade 2,13.4,20,"  41,300.00 "
6/15/2025,Kano,Grade 1,10.7,12,"  107,800.00 "
6/22/2025,Jigawa,Grade 2,12.9,16,"  41,300.00 "
6/29/2025,Bornu,Grade 1,13,22,"  107,800.00 "
7/6/2025,Damaturu,Grade 1,11.6,18,"  107,800.00 "
7/13/2025,Kano,Grade 2,14.8,15,"  41,300.00 "
7/20/2025,Jigawa,Grade 1,10.6,12,"  211,200.00 "
7/27/2025,Bornu,Grade 2,15.1,27,"  41,300.00 "
8/3/2025,Yobe,Grade 2,13,19,"  41,300.00 "
8/10/2025,Damaturu,Grade 1,11.2,11,"  211,200.00 "
8/17/2025,Jigawa,Grade 2,12.7,14,"  41,900.00 "
